PrimaryKey,Filename,Quality,Piece,Composer,Performer,Instrument,License,Link,Chunks
69,"Enigma variations, Op. 36 - Variation I (L'istesso tempo) C.A.E..mp3",High,"Enigma variations, Op. 36 - Variation I (L'istesso tempo) C.A.E.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,20
70,"Enigma variations, Op. 36 - Theme (Andante).mp3",High,"Enigma variations, Op. 36 - Theme (Andante)",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,15
71,"Symphony no. 2 in D Major, Op. 36 - IV. Allegro molto.flac",Low,"Symphony no. 2 in D Major, Op. 36 - IV. Allegro molto",Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2564-symphony-no-2-in-d-major-op-36/,227
72,"Symphony no. 2 in D Major, Op. 36 - II. Larghetto.flac",Low,"Symphony no. 2 in D Major, Op. 36 - II. Larghetto",Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2564-symphony-no-2-in-d-major-op-36/,275
73,"Symphony no. 2 in D Major, Op. 36 - III. Scherzo Allegro.flac",Low,"Symphony no. 2 in D Major, Op. 36 - III. Scherzo Allegro",Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2564-symphony-no-2-in-d-major-op-36/,91
74,"Symphony no. 2 in D Major, Op. 36 - I. Adagio molto - Allegro con brio.flac",Low,"Symphony no. 2 in D Major, Op. 36 - I. Adagio molto - Allegro con brio",Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2564-symphony-no-2-in-d-major-op-36/,263
75,"Symphony No. 3 in F Major, Op. 90 - I. Allegro con brio.m4a",High,"Symphony No. 3 in F Major, Op. 90 - I. Allegro con brio",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/66-symphony-no-3-in-f-major-op-90/,237
76,"Symphony No. 3 in F Major, Op. 90 - II. Andante.m4a",High,"Symphony No. 3 in F Major, Op. 90 - II. Andante",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/66-symphony-no-3-in-f-major-op-90/,131
77,"Symphony No. 3 in F Major, Op. 90 - III. Poco allegretto.m4a",High,"Symphony No. 3 in F Major, Op. 90 - III. Poco allegretto",Brahms J.,Musopen Symphony,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/66-symphony-no-3-in-f-major-op-90/,165
78,Brahms - Symphony No.3 in F major Op.90 - IV. Allegro.flac,Low,Brahms - Symphony No.3 in F major Op.90 - IV. Allegro,Brahms J.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/66-symphony-no-3-in-f-major-op-90/,160
79,"Symphony no. 8 in Bm 'Unfinished', D. 759 - I. Allegro Moderato.mp3",High,"Symphony no. 8 in Bm 'Unfinished', D. 759 - I. Allegro Moderato",Beethoven L.,Davis High School Symphony Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/7314-symphony-no-8-in-b-minor-unfinished-d-759/,230
80,"Brandenburg Concerto no. 1 in F major, BWV. 1046 - II. Adagio - III. Allegro.flac",Low,"Brandenburg Concerto no. 1 in F major, BWV. 1046 - II. Adagio - III. Allegro",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3498-brandenburg-concerto-no-1-in-f-major-bwv-1046/,309
81,"Brandenburg Concerto no. 1 in F major, BWV. 1046 - I. Allegro.flac",Low,"Brandenburg Concerto no. 1 in F major, BWV. 1046 - I. Allegro",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3498-brandenburg-concerto-no-1-in-f-major-bwv-1046/,171
82,"Brandenburg Concerto no. 1 in F major, BWV. 1046 - IV. Menuetto.flac",Low,"Brandenburg Concerto no. 1 in F major, BWV. 1046 - IV. Menuetto",Bach J. S.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/3498-brandenburg-concerto-no-1-in-f-major-bwv-1046/,258
83,Beethoven - Symphony No.6 in F major Op.68 - III. Allegro IV. Allegro V. Allegretto.flac,Low,Beethoven - Symphony No.6 in F major Op.68 - III. Allegro IV. Allegro V. Allegretto,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2568-symphony-no-6-in-f-major-pastoral-op-68/,336
84,Beethoven - Symphony No.6 in F major Op.68 - II. Andante molto mosso.flac,Low,Beethoven - Symphony No.6 in F major Op.68 - II. Andante molto mosso,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2568-symphony-no-6-in-f-major-pastoral-op-68/,278
85,Beethoven - Symphony No.6 in F major Op.68 - I. Allegro ma non troppo.flac,Low,Beethoven - Symphony No.6 in F major Op.68 - I. Allegro ma non troppo,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2568-symphony-no-6-in-f-major-pastoral-op-68/,130
